date,total_plays,daily_delta
2025-10-30,245937146,
2025-10-31,246132903,-1804243,MusicMetricsVault.com (personal use)
2025-11-01,247047678,914775,MusicMetricsVault.com (personal use)
2025-11-02,246790452,-257226,MusicMetricsVault.com (personal use)
2025-11-03,247099955,309503,MusicMetricsVault.com (personal use)
2025-11-04,247252748,152793,MusicMetricsVault.com (personal use)
2025-11-05,249104564,1851816,MusicMetricsVault.com (personal use)
2025-11-06,247536925,-1567639,MusicMetricsVault.com (personal use)
2025-11-07,251238910,3701985,MusicMetricsVault.com (personal use)
2025-11-08,248447125,-2791785,MusicMetricsVault.com (personal use)
2025-11-09,248692767,245642,MusicMetricsVault.com (personal use)
2025-11-10,249674726,981959,MusicMetricsVault.com (personal use)
2025-11-11,251756156,2081430,MusicMetricsVault.com (personal use)
2025-11-12,249436854,-2319302,MusicMetricsVault.com (personal use)
2025-11-13,250052558,615704,MusicMetricsVault.com (personal use)
2025-11-14,250398391,345833,MusicMetricsVault.com (personal use)
2025-11-15,250219484,-178907,MusicMetricsVault.com (personal use)
2025-11-16,251419944,1200460,MusicMetricsVault.com (personal use)
2025-11-17,253382694,1962750,MusicMetricsVault.com (personal use)
2025-11-18,251027224,-2355470,MusicMetricsVault.com (personal use)
2025-11-19,251667337,640113,MusicMetricsVault.com (personal use)
2025-11-20,251596637,-70700,MusicMetricsVault.com (personal use)
2025-11-21,252172743,576106,MusicMetricsVault.com (personal use)
2025-11-22,252142119,-30624,MusicMetricsVault.com (personal use)
2025-11-23,252582846,440727,MusicMetricsVault.com (personal use)
2025-11-24,253184598,601752,MusicMetricsVault.com (personal use)
2025-11-25,253070280,-114318,MusicMetricsVault.com (personal use)
2025-11-26,253836941,766661,MusicMetricsVault.com (personal use)
2025-11-27,253668255,-168686,MusicMetricsVault.com (personal use)
2025-11-28,254244586,576331,MusicMetricsVault.com (personal use)
2025-11-29,254332220,87634,MusicMetricsVault.com (personal use)
2025-11-30,254513255,181035,MusicMetricsVault.com (personal use)
2025-12-01,254860811,347556,MusicMetricsVault.com (personal use)
2025-12-02,255452010,591199,MusicMetricsVault.com (personal use)
2025-12-03,255363019,-88991,MusicMetricsVault.com (personal use)
2025-12-04,255789569,426550,MusicMetricsVault.com (personal use)
2025-12-05,256449394,659825,MusicMetricsVault.com (personal use)
2025-12-06,256256357,-193037,MusicMetricsVault.com (personal use)
2025-12-07,258831492,2575135,MusicMetricsVault.com (personal use)
2025-12-08,256759919,-2071573,MusicMetricsVault.com (personal use)
2025-12-09,257085124,325205,MusicMetricsVault.com (personal use)
2025-12-10,257744726,659602,MusicMetricsVault.com (personal use)
2025-12-11,258169734,425008,MusicMetricsVault.com (personal use)
2025-12-12,257975891,-193843,MusicMetricsVault.com (personal use)
2025-12-13,259117321,1141430,MusicMetricsVault.com (personal use)
2025-12-14,258834545,-282776,MusicMetricsVault.com (personal use)
2025-12-15,259918180,1083635,MusicMetricsVault.com (personal use)
2025-12-16,259010152,-908028,MusicMetricsVault.com (personal use)
2025-12-17,259590486,580334,MusicMetricsVault.com (personal use)
2025-12-18,259830972,240486,MusicMetricsVault.com (personal use)
2025-12-19,260115242,284270,MusicMetricsVault.com (personal use)
2025-12-20,260425282,310040,MusicMetricsVault.com (personal use)
2025-12-21,261034672,609390,MusicMetricsVault.com (personal use)
2025-12-22,261047667,12995,MusicMetricsVault.com (personal use)
2025-12-23,262096775,1049108,MusicMetricsVault.com (personal use)
