title,plays,duration,release_date,isrc,source
Psihedelia,12726244,3:46,2003-12-04,,MusicMetricsVault.com
Se Periptosi Pou,11819020,3:59,2024-11-08,,MusicMetricsVault.com
Aima,8949056,3:29,2022-05-30,,MusicMetricsVault.com
Lekes,8814056,4:15,2023-11-10,,MusicMetricsVault.com
Eleni,6478150,4:56,1995-09-18,,MusicMetricsVault.com
Protimo,6189719,4:04,2012-12-31,,MusicMetricsVault.com
Einai Asteio,5646433,3:41,2023-07-10,,MusicMetricsVault.com
Sti Pira,5442676,3:07,2008-12-09,,MusicMetricsVault.com
Ise,4634388,4:21,2003-12-04,,MusicMetricsVault.com
Ola Gia Ola,4380634,4:42,2025-04-04,,MusicMetricsVault.com
Kontra,4194984,3:52,2008-12-09,,MusicMetricsVault.com
Eho Pethani Gia Sena,4028534,3:54,2003-12-04,,MusicMetricsVault.com
Agapi Ipervoliki,4014796,4:50,2000-11-16,,MusicMetricsVault.com
Gazoza,3956840,3:45,2022-12-12,,MusicMetricsVault.com
To Poli Poli,3903366,4:26,2000-11-16,,MusicMetricsVault.com
Treno,3464231,4:49,2003-12-04,,MusicMetricsVault.com
Kai Eho Tosa Na Thymamai - Hotel Ermou Live Version,3055090,2:43,2018-07-23,,MusicMetricsVault.com
Atmosphera Ilectrismeni,2563167,5:14,2000-11-16,,MusicMetricsVault.com
Sigharitiria,2549639,5:09,2002-10-03,,MusicMetricsVault.com
Dodeka,2411816,5:22,1985-01-10,,MusicMetricsVault.com
Horis To Moro Mou,2361765,3:55,2000-11-16,,MusicMetricsVault.com
Pes To Xana - Hotel Ermou Live Version,2326025,1:54,2018-07-23,,MusicMetricsVault.com
Protimo '24,2260637,4:08,2024-03-12,,MusicMetricsVault.com
Shizofrenia,2258329,4:05,2000-11-16,,MusicMetricsVault.com
Xana Mana,2176074,4:53,2015-11-30,,MusicMetricsVault.com
Psihedelia - Live Version,2135294,3:13,2005-01-27,,MusicMetricsVault.com
Xrysopsara,2124343,3:54,2024-05-17,,MusicMetricsVault.com
O Telefteos Horos,2053273,5:52,1991-07-05,,MusicMetricsVault.com
Empnefsi - Hotel Ermou Live Version,2033828,2:26,2018-07-23,,MusicMetricsVault.com
Sandre,1948574,4:04,2025-06-27,,MusicMetricsVault.com
Tyraniemai,1882060,4:00,2012-06-11,,MusicMetricsVault.com
Emis,1834612,3:44,1992-05-28,,MusicMetricsVault.com
Den Thelo Na Xeris,1794247,5:19,1992-05-28,,MusicMetricsVault.com
"Se Thelo, Me Thelis (Mixed)",1769118,4:25,1997-04-16,,MusicMetricsVault.com
Everything,1767439,2:60,2006-03-31,,MusicMetricsVault.com
Kaka Pedia,1752062,5:12,2000-11-16,,MusicMetricsVault.com
Protereotita,1679146,4:15,2010-11-08,,MusicMetricsVault.com
Sentonia,1615492,3:47,1996-02-29,,MusicMetricsVault.com
Pes To Ksana,1604998,3:51,2002-10-03,,MusicMetricsVault.com
Moni Mou,1545739,3:54,2000-11-16,,MusicMetricsVault.com
